Date,High,Low,Open,Close,Volume,Adj Close
2013-09-30,186.74000549316406,184.33999633789062,185.55999755859375,185.17999267578125,3978200,146.61767578125
2013-10-01,186.64999389648438,184.64999389648438,185.33999633789062,186.3800048828125,2681200,147.56777954101562
2013-10-02,186.30999755859375,184.41000366210938,185.5399932861328,184.9600067138672,3617100,146.44346618652344
2013-10-03,184.9600067138672,183.0,184.6999969482422,183.86000061035156,3211800,145.5725555419922
2013-10-04,185.1300048828125,183.5800018310547,184.1699981689453,184.10000610351562,2863600,145.76258850097656
2013-10-07,183.30999755859375,181.85000610351562,181.85000610351562,182.00999450683594,3966400,144.10780334472656
2013-10-08,181.99000549316406,178.7100067138672,181.88999938964844,178.72000122070312,5578300,141.5029754638672
2013-10-09,181.6699981689453,179.10000610351562,179.3699951171875,181.32000732421875,4423500,143.5615234375
2013-10-10,184.77000427246094,182.36000061035156,183.1699981689453,184.77000427246094,3658900,146.29307556152344
2013-10-11,186.22999572753906,184.1199951171875,185.25,186.16000366210938,3232600,147.3936004638672
2013-10-14,186.99000549316406,184.4199981689453,185.41000366210938,186.97000122070312,2663100,148.0349884033203
2013-10-15,185.94000244140625,184.22000122070312,185.74000549316406,184.66000366210938,3365100,146.2059783935547
2013-10-16,186.72999572753906,184.99000549316406,185.4199981689453,186.72999572753906,6718000,147.8449249267578
2013-10-17,177.0,172.57000732421875,173.83999633789062,174.8300018310547,22368900,138.42300415039062
2013-10-18,175.0,173.25,174.8000030517578,173.77999877929688,10548000,137.59165954589844
2013-10-21,174.75,172.6300048828125,174.4199981689453,172.86000061035156,7098700,136.86325073242188
2013-10-22,175.57000732421875,172.9499969482422,173.35000610351562,174.97000122070312,6977300,138.5338592529297
2013-10-23,175.99000549316406,174.39999389648438,175.08999633789062,175.77000427246094,5409400,139.1672821044922
2013-10-24,177.88999938964844,176.25,176.42999267578125,177.8000030517578,5533300,140.77452087402344
2013-10-25,179.10000610351562,176.25999450683594,178.42999267578125,176.85000610351562,4842800,140.0223388671875
2013-10-28,177.88999938964844,176.1999969482422,177.0399932861328,177.35000610351562,3712700,140.41819763183594
2013-10-29,182.32000732421875,177.5,177.6199951171875,182.1199951171875,8904600,144.19493103027344
2013-10-30,182.17999267578125,179.86000061035156,181.69000244140625,180.14999389648438,5273700,142.63516235351562
2013-10-31,181.6699981689453,179.0399932861328,179.64999389648438,179.2100067138672,4318100,141.89089965820312
