Date,MSFT,INTC,KO,WMT
2018-05-24,98.309998,54.75,42.32,82.849998
2018-05-25,98.360001,55.439999,42.400002,82.459999
2018-05-29,98.010002,55.32,42.68,82.400002
2018-05-30,98.949997,55.68,43.130001,84.120003
2018-05-31,98.839996,55.200001,43.0,82.540001
2018-06-01,100.790001,57.080002,43.119999,82.989998
2018-06-04,101.66999799999999,56.830002,43.490002000000004,85.41999799999999
2018-06-05,102.190002,56.529999,43.110001000000004,84.620003
2018-06-06,102.489998,57.029999,43.459998999999996,84.559998
2018-06-07,100.879997,55.880001,43.439999,84.949997
2018-06-08,101.629997,55.049999,43.950001,84.360001
2018-06-11,101.050003,54.52,44.130001,84.300003
2018-06-12,101.309998,54.82,44.41,84.099998
2018-06-13,100.849998,55.029999,44.18,84.089996
2018-06-14,101.41999799999999,55.540001000000004,43.580002,83.790001
2018-06-15,100.129997,55.110001000000004,44.119999,83.699997
2018-06-18,100.860001,53.220001,43.549999,83.0
2018-06-19,100.860001,52.93,43.599998,83.610001
2018-06-20,101.870003,53.459998999999996,43.259997999999996,83.610001
2018-06-21,101.139999,52.189999,43.09,84.209999
2018-06-22,100.410004,52.5,43.25,84.82
2018-06-25,98.389999,50.709998999999996,43.580002,86.470001
2018-06-26,99.08000200000001,49.669998,43.330002,85.980003
2018-06-27,97.540001,48.759997999999996,43.07,86.889999
2018-06-28,98.629997,49.25,43.470001,85.860001
2018-06-29,98.610001,49.709998999999996,43.860001000000004,85.650002
2018-07-02,100.010002,50.200001,43.75,84.0
2018-07-03,99.050003,49.470001,43.990002000000004,84.440002
2018-07-05,99.760002,50.75,44.66,84.57
2018-07-06,101.160004,51.369999,44.639998999999996,84.510002
2018-07-09,101.849998,51.860001000000004,44.400002,85.93
2018-07-10,102.120003,52.16,44.970001,87.209999
2018-07-11,101.980003,51.200001,44.790001000000004,86.529999
2018-07-12,104.190002,52.349998,44.669998,86.519997
2018-07-13,105.43,52.220001,44.740002000000004,87.699997
2018-07-16,104.910004,52.009997999999996,44.73,87.639999
2018-07-17,105.949997,51.75,45.25,88.190002
2018-07-18,105.120003,51.720001,45.119999,88.07
2018-07-19,104.400002,51.98,45.110001000000004,87.720001
2018-07-20,106.269997,51.91,45.279999,88.059998
2018-07-23,107.970001,52.310001,44.950001,87.629997
2018-07-24,107.660004,52.18,45.259997999999996,87.959999
2018-07-25,110.83000200000001,52.43,46.09,87.900002
2018-07-26,109.620003,52.16,46.240002000000004,88.230003
2018-07-27,107.68,47.68,46.209998999999996,88.129997
2018-07-30,105.370003,47.689999,46.23,88.879997
2018-07-31,106.08000200000001,48.099998,46.630001,89.230003
2018-08-01,106.279999,48.810001,46.389998999999996,88.239998
2018-08-02,107.57,49.48,46.18,88.760002
2018-08-03,108.040001,49.630001,46.619999,89.599998
2018-08-06,108.129997,49.299999,46.650002,89.66999799999999
2018-08-07,108.879997,49.700001,46.5,89.769997
2018-08-08,109.489998,49.959998999999996,46.150002,90.050003
2018-08-09,109.66999799999999,50.139998999999996,46.349998,89.010002
2018-08-10,109.0,48.849998,46.080002,90.18
2018-08-13,108.209999,48.450001,45.830002,89.639999
2018-08-14,109.559998,48.119999,45.889998999999996,90.849998
2018-08-15,107.660004,47.459998999999996,46.080002,90.220001
2018-08-16,107.639999,47.169998,46.220001,98.639999
2018-08-17,107.58000200000001,47.099998,46.599998,97.849998
2018-08-20,106.870003,46.5,46.73,96.0
2018-08-21,105.980003,47.619999,46.220001,96.08000200000001
2018-08-22,107.059998,47.049999,45.93,95.66999799999999
2018-08-23,107.559998,46.98,45.700001,95.18
2018-08-24,108.400002,47.66,45.630001,94.949997
2018-08-27,109.599998,48.349998,45.689999,94.540001
2018-08-28,110.260002,48.57,45.369999,96.07
2018-08-29,112.019997,48.75,45.330002,95.639999
2018-08-30,111.949997,48.240002000000004,44.950001,96.099998
2018-08-31,112.33000200000001,48.43,44.57,95.860001
2018-09-04,111.709999,47.959998999999996,44.759997999999996,95.360001
2018-09-05,108.489998,47.720001,45.380001,96.620003
2018-09-06,108.739998,47.259997999999996,45.77,96.449997
2018-09-07,108.209999,46.450001,45.720001,95.83000200000001
2018-09-10,109.379997,46.299999,46.060001,96.900002
2018-09-11,111.239998,44.93,46.02,96.639999
2018-09-12,111.709999,44.93,46.240002000000004,95.970001
2018-09-13,112.910004,45.57,45.830002,95.120003
2018-09-14,113.370003,45.540001000000004,45.990002000000004,94.589996
2018-09-17,112.139999,45.419998,46.32,94.82
2018-09-18,113.209999,46.099998,45.93,95.43
2018-09-19,111.699997,46.150002,45.959998999999996,95.239998
2018-09-20,113.57,47.200001,46.639998999999996,95.75
2018-09-21,114.260002,46.66,46.580002,95.900002
2018-09-24,114.66999799999999,46.91,46.07,94.91999799999999
2018-09-25,114.449997,45.91,45.68,95.099998
2018-09-26,113.980003,45.700001,45.849998,94.589996
2018-09-27,114.410004,45.880001,46.009997999999996,94.129997
2018-09-28,114.370003,47.290001000000004,46.189999,93.910004
2018-10-01,115.610001,46.450001,46.23,94.400002
2018-10-02,115.150002,48.099998,46.509997999999996,95.150002
2018-10-03,115.16999799999999,48.759997999999996,45.869999,94.07
2018-10-04,112.790001,48.130001,45.849998,94.209999
2018-10-05,112.129997,47.029999,45.880001,93.309998
2018-10-08,110.849998,47.029999,46.48,94.690002
2018-10-09,112.260002,46.549999,46.389998999999996,97.08000200000001
2018-10-10,106.160004,44.799999,45.68,95.760002
2018-10-11,105.910004,44.23,44.639998999999996,93.91999799999999
2018-10-12,109.57,44.880001,44.68,94.809998
2018-10-15,107.599998,44.529999,44.91,93.82
2018-10-16,111.0,45.939999,45.490002000000004,95.809998
2018-10-17,110.709999,45.889998999999996,45.860001000000004,96.559998
2018-10-18,108.5,44.970001,45.610001000000004,96.16999799999999
2018-10-19,108.660004,44.0,46.330002,97.150002
2018-10-22,109.629997,45.009997999999996,45.970001,97.139999
2018-10-23,108.099998,44.5,46.360001000000004,97.800003
2018-10-24,102.32,42.419998,46.73,97.559998
